City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Totskoye,RU,67.53,broken clouds,52.52,52.76,Gostinitsa
223,Artyom,AZ,78.8,few clouds,40.47,50.33,Merdan Respect
227,Suzhou,CN,84.0,broken clouds,31.31,120.62,Holiday Inn Jasmine Suzhou
228,Vila Velha,BR,68.0,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
231,Bumba,CD,72.3,light rain,2.18,22.47,Hôtel Cape Town
232,Bundaberg,AU,68.0,clear sky,-24.85,152.35,Takalvan Motel
233,Qazvin,IR,75.2,clear sky,36.28,50.0,Alborz Hotel
234,Vegreville,CA,76.23,clear sky,53.5,-112.05,Wild Rose Inn
235,Casper,US,82.99,light rain,42.87,-106.31,Ramkota Hotel
237,Glendive,US,82.0,clear sky,47.11,-104.71,Super 8 by Wyndham Glendive
240,Sibolga,ID,75.96,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
246,Nyurba,RU,65.97,clear sky,63.28,118.33,Gostinitsa Alrosa
249,Abeokuta,NG,77.0,few clouds,7.15,3.35,Park Inn by Radisson Abeokuta
250,Asyut,EG,84.2,clear sky,27.18,31.18,Florence Hotel Assiut
251,Omboue,GA,73.44,broken clouds,-1.57,9.26,Hotel Olako
253,Kinablangan,PH,82.13,light rain,7.69,126.55,Mainit Balete Hot Spring
256,Neenah,US,78.8,scattered clouds,44.19,-88.46,Best Western Premier Bridgewood Resort Hotel
257,Kalawit,PH,79.83,overcast clouds,8.07,122.52,Ompoy Pension House
258,San Jose,US,84.2,broken clouds,37.34,-121.89,The Westin San Jose
259,Hasaki,JP,81.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
262,Brooklyn,US,82.4,clear sky,40.65,-73.95,Best Western Plus Arena Hotel
263,Harrison,US,89.6,few clouds,30.41,-89.04,Residence Inn by Marriott Gulfport-Biloxi Airport
272,Nabire,ID,76.62,light rain,-3.37,135.48,Hotel Nusantara Nabire
273,Peniche,PT,66.0,clear sky,39.36,-9.38,Hotel Star inn Peniche
274,Flin Flon,CA,75.2,few clouds,54.77,-101.86,Victoria Inn Flin Flon
275,Zalantun,CN,75.72,light rain,48.0,122.72,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
276,Cayenne,GF,80.6,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
277,Yanam,IN,81.01,few clouds,16.73,82.22,The Regency Hotel
281,Slave Lake,CA,80.6,broken clouds,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
282,Lagoa,PT,71.13,clear sky,39.05,-27.98,Casa Das Faias
284,Kununurra,AU,68.0,clear sky,-15.77,128.73,Hotel Kununurra
286,Kavieng,PG,82.58,light rain,-2.57,150.8,Nusa Island Retreat
287,Krasnyye Barrikady,RU,73.4,scattered clouds,46.2,47.85,Baza Otdykha
288,Teguise,ES,75.2,few clouds,29.06,-13.56,B&B La Casona de Nazaret
290,Guerrero Negro,MX,82.8,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
292,Elizabeth City,US,77.0,moderate rain,36.29,-76.25,Hampton Inn Elizabeth City
295,Tautira,PF,84.2,scattered clouds,-17.73,-149.15,Pension Oaoa
297,Port-Cartier,CA,73.4,few clouds,50.03,-66.87,Le Q'Artier
299,Meulaboh,ID,74.68,overcast clouds,4.14,96.13,Kost Pria
300,Yangjiang,CN,79.3,moderate rain,21.85,111.97,HUALUXE Yangjiang City Center
302,Nantucket,US,73.4,clear sky,41.28,-70.1,Jared Coffin House
303,Hobyo,SO,77.09,clear sky,5.35,48.53,Osmani Hotel
304,Manta,EC,78.8,scattered clouds,-0.95,-80.73,Balandra Hotel
305,Mbanza-Ngungu,CD,69.31,broken clouds,-5.25,14.87,Hotel Full Business
307,Maceio,BR,71.6,light rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
310,Cururupu,BR,74.08,scattered clouds,-1.83,-44.87,Pousada Través'cia
312,Mumford,GH,73.17,scattered clouds,5.26,-0.76,Spanish Villa
313,San Carlos,VE,74.97,broken clouds,9.66,-68.58,Hotel Paternopoli
314,Los Llanos De Aridane,ES,73.4,broken clouds,28.66,-17.92,Valle Aridane
