City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Nanortalik,GL,60.14,-45.24,46.04,94,99,14.16,overcast clouds
281,Slave Lake,CA,55.28,-114.77,80.6,44,75,20.8,broken clouds
282,Lagoa,PT,39.05,-27.98,71.13,71,0,9.26,clear sky
283,Chicama,PE,-7.84,-79.15,62.06,81,15,6.89,few clouds
284,Kununurra,AU,-15.77,128.73,68.0,21,0,2.24,clear sky
285,Sapa,PH,5.15,120.32,81.93,76,88,7.09,overcast clouds
286,Kavieng,PG,-2.57,150.8,82.58,80,100,10.69,light rain
287,Krasnyye Barrikady,RU,46.2,47.85,73.4,64,40,6.71,scattered clouds
288,Teguise,ES,29.06,-13.56,75.2,78,20,14.99,few clouds
289,Byron Bay,AU,-28.65,153.62,63.0,82,13,8.05,few clouds
290,Guerrero Negro,MX,27.98,-114.06,82.8,52,0,16.98,clear sky
291,Coihaique,CL,-45.58,-72.07,42.8,75,90,6.93,light rain
292,Elizabeth City,US,36.29,-76.25,77.0,94,20,3.36,moderate rain
293,Qaqortoq,GL,60.72,-46.03,51.8,71,75,4.7,broken clouds
294,Gander,CA,48.97,-54.59,57.2,100,90,8.05,light intensity drizzle
295,Tautira,PF,-17.73,-149.15,84.2,66,40,17.22,scattered clouds
296,Atar,MR,20.52,-13.05,99.36,23,4,6.96,clear sky
297,Port-Cartier,CA,50.03,-66.87,73.4,56,20,8.05,few clouds
298,Saint Pete Beach,US,27.73,-82.74,91.99,63,75,9.17,broken clouds
299,Meulaboh,ID,4.14,96.13,74.68,80,85,4.07,overcast clouds
300,Yangjiang,CN,21.85,111.97,79.3,93,100,5.82,moderate rain
301,Pisco,PE,-13.7,-76.22,62.6,77,3,16.11,clear sky
302,Nantucket,US,41.28,-70.1,73.4,73,1,4.7,clear sky
303,Hobyo,SO,5.35,48.53,77.09,77,9,24.25,clear sky
304,Manta,EC,-0.95,-80.73,78.8,74,40,10.29,scattered clouds
305,Mbanza-Ngungu,CD,-5.25,14.87,69.31,75,55,10.0,broken clouds
306,Lyuban,BY,52.8,28.0,50.52,91,0,6.82,clear sky
307,Maceio,BR,-9.67,-35.74,71.6,100,75,5.82,light rain
308,Ubinskoye,RU,55.31,79.68,60.57,94,38,6.62,scattered clouds
309,Bindura,ZW,-17.3,31.33,44.42,84,0,0.85,clear sky
310,Cururupu,BR,-1.83,-44.87,74.08,87,45,3.33,scattered clouds
311,Carpinteria,US,34.4,-119.52,96.01,72,1,14.99,clear sky
312,Mumford,GH,5.26,-0.76,73.17,90,27,8.95,scattered clouds
313,San Carlos,VE,9.66,-68.58,74.97,92,84,2.53,broken clouds
314,Los Llanos De Aridane,ES,28.66,-17.92,73.4,83,69,13.87,broken clouds
315,Esso,RU,55.93,158.7,62.28,47,59,5.46,broken clouds
316,Xichang,CN,27.9,102.26,69.06,78,53,1.92,broken clouds
317,Gold Coast,AU,-28.0,153.43,66.2,55,0,9.17,clear sky
318,Dezful,IR,32.38,48.41,89.76,12,0,3.4,clear sky
319,Kirillov,RU,59.86,38.38,46.35,96,0,4.99,clear sky
320,Santa Rosa,PH,14.31,121.11,78.8,94,100,2.44,overcast clouds
321,Korla,CN,41.76,86.15,78.35,25,74,6.38,broken clouds
322,Soyo,AO,-6.13,12.37,71.67,85,61,6.11,broken clouds
323,Winsum,NL,53.33,6.52,61.0,100,21,2.24,few clouds
324,Ostrovnoy,RU,68.05,39.51,51.01,88,98,14.9,overcast clouds
325,Atambua,ID,-9.11,124.89,73.92,57,4,4.14,clear sky
326,Yamada,JP,39.47,141.95,74.35,77,91,7.43,overcast clouds
327,Grindavik,IS,63.84,-22.43,50.0,100,90,12.75,light rain
328,Svetlogorsk,BY,52.63,29.73,50.58,96,0,7.74,clear sky
329,Sindor,RU,62.86,51.89,46.71,98,34,2.95,scattered clouds
330,Shulan,CN,44.42,126.95,82.85,58,13,5.68,few clouds
331,Yago,MX,21.83,-105.07,82.4,69,40,8.05,scattered clouds
332,Nam Som,TH,17.77,102.19,77.0,100,90,2.24,drizzle
333,Portland,US,45.52,-122.68,84.0,36,40,9.17,scattered clouds
334,Port Moresby,PG,-9.44,147.18,80.6,57,20,11.41,haze
335,Avera,US,33.19,-82.53,91.4,41,1,6.93,clear sky
336,Tiznit,MA,29.58,-9.5,79.66,40,14,1.57,few clouds
337,Kahului,US,20.89,-156.47,89.6,40,20,23.04,few clouds
338,Karpathos,GR,35.51,27.21,78.8,78,0,27.51,clear sky
339,Turinsk,RU,58.05,63.7,60.58,89,86,6.17,overcast clouds
340,Iqaluit,CA,63.75,-68.51,59.0,72,75,17.22,broken clouds
341,Mayo,US,38.89,-76.51,84.2,69,40,6.93,scattered clouds
342,Fare,PF,-16.7,-151.02,79.41,79,19,13.35,light rain
343,Batemans Bay,AU,-35.72,150.18,46.99,100,17,1.63,few clouds
344,Labuhan,ID,-6.88,112.21,76.59,77,50,9.31,scattered clouds
345,Trat,TH,12.5,102.5,76.91,92,100,9.46,moderate rain
346,Wagar,SD,16.15,36.2,77.76,72,48,17.78,scattered clouds
347,Mill Valley,US,37.91,-122.55,69.01,100,11,8.01,few clouds
348,Ilabaya,PE,-17.42,-70.51,58.93,53,81,0.67,broken clouds
349,Langenhagen,DE,52.45,9.75,69.01,82,75,3.36,broken clouds
350,College,US,64.86,-147.8,79.0,47,75,4.7,broken clouds
351,Landshut,DE,48.53,12.15,69.01,88,95,3.36,overcast clouds
352,Mehamn,NO,71.04,27.85,48.47,86,100,5.12,overcast clouds
353,Teseney,ER,15.11,36.66,74.35,72,39,12.97,scattered clouds
354,Talcahuano,CL,-36.72,-73.12,55.4,93,75,6.93,broken clouds
355,Pangody,RU,65.85,74.49,58.14,94,100,12.91,light rain
356,Ulladulla,AU,-35.35,150.47,55.0,66,12,10.29,few clouds
357,Nizamabad,IN,18.67,78.12,76.21,86,58,7.07,broken clouds
358,Bonavista,CA,48.65,-53.11,57.0,75,77,6.85,light rain
359,Muravlenko,RU,63.79,74.52,56.46,90,20,12.39,few clouds
360,Inuvik,CA,68.35,-133.72,64.4,68,75,12.75,broken clouds
361,Balung,ID,-7.73,113.92,76.37,63,21,4.07,few clouds
362,Yar,RU,58.25,52.1,56.28,96,100,13.71,moderate rain
363,Nan,TH,18.83,100.67,77.0,100,75,6.93,thunderstorm with light rain
364,Serenje,ZM,-13.23,30.24,47.71,83,0,9.6,clear sky
365,Mirnyy,RU,62.54,113.96,64.4,55,0,11.18,clear sky
